鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北投區,房地(土地+建物),臺北市北投區尊賢街271~300號,38.75,住,,,1071127,土地1建物1車位0,一層，平台,四層,店面(店鋪),商業用,鋼筋混凝土造,0650910,96.63,0,0,0,無,無,26300000,272172,,0.0,0,,RPSOMLLLKINFFEA87CA
士林區,房地(土地+建物),臺北市士林區承德路四段12巷1~30號,36.25,住,,,1071123,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,96.42,2,2,1,有,無,20300000,210537,,0.0,0,含增建或未登記建物。;,RPTOMLLLKINFFEA97CA
士林區,房地(土地+建物),臺北市士林區文林路643巷1~30號,31.12,住,,,1071119,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680227,88.41,3,2,1,有,無,14850000,167967,,0.0,0,含增建或未登記建物。;,RPWOMLLLKINFFEA28CA
北投區,房地(土地+建物),臺北市北投區溫泉路37巷1~30號,8.9,住,,,1071205,土地2建物1車位0,九層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941111,43.92,1,1,1,有,有,6280000,142987,,0.0,0,含增建或未登記建物。;,RPXOMLLLKINFFEA38CA
士林區,房地(土地+建物),臺北市士林區中山北路六段421~450號,12.62,住,,,1071124,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750531,67.3,2,2,1,有,無,13000000,193165,,0.0,0,,RPOPMLLLKINFFEA57CA
北投區,車位,臺北市北投區西安街二段271~300號,2.43,住,,,1071210,土地0建物0車位1,一層,十二層,其他,見其他登記事項,鋼筋混凝土造,0990416,27.41,0,0,0,有,有,2700000,,坡道平面,27.34,2700000,單獨車位交易。;,RPQNMLMLKINFFEA67CA
北投區,房地(土地+建物),臺北市北投區奇岩路31~60號,43.81,住,,,1071111,土地2建物3車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0740913,156.65,3,2,2,有,有,17800000,113629,,0.0,0,含增建或未登記建物。,RPPOMLMLKINFFEA67CA
士林區,土地,富安段一小段241~270地號,110.53,其他,,,1071206,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,44332,,0.0,0,,RPTNMLOLKINFFEA18CA
大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段212巷31~60號,23.44,住,,,1071110,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060926,182.37,3,2,2,有,有,42200000,231398,坡道平面,0.0,0,含增建或未登記建物。;,RPWNMLLLKINFFFA28CA
大安區,房地(土地+建物),臺北市大安區仁愛路四段31~60號,12.82,其他,,,1071116,土地4建物1車位0,五層，陽台,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0600420,79.7,3,2,1,有,有,28580000,358595,,0.0,0,含增建或未登記建物。;,RPPNMLMLKINFFFA67CA
大安區,房地(土地+建物),臺北市大安區建國南路二段308巷10弄1~30號,29.75,住,,,1071119,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731205,167.87,2,2,2,有,有,36000000,214452,,0.0,0,,RPPOMLOLKINFFFA97CA
大安區,房地(土地+建物),臺北市大安區永康街75巷1~30號,32.75,住,,,1071123,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.97,3,2,2,有,無,26500000,197805,,0.0,0,,RPPOMLRLKINFFFA28CA
大安區,房地(土地+建物),臺北市大安區羅斯福路二段61~90號,45.67,商,,,1070918,土地3建物1車位0,四層，陽台,十一層,辦公商業大樓,,鋼筋混凝土造,,409.31,0,0,0,無,有,84000000,205223,,0.0,0,,RPRNMLSLKINFFFA48CA
大安區,房地(土地+建物),臺北市大安區建國南路一段301~330號,4.92,住,,,1040929,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070412,40.09,0,0,0,無,有,18560000,462958,,0.0,0,本案簽訂日期104.09.29，於107.09.20讓渡。,RPVNMLRLKINFFFA78CA
萬華區,房地(土地+建物),臺北市萬華區長泰街73巷1~30號,35.25,住,,,1071203,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631211,85.48,3,2,1,有,無,5900000,69022,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSSMLMLKINFFBA18DA
萬華區,房地(土地+建物),臺北市萬華區青年路30巷1~30號,16.2,住,,,1071103,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760316,77.57,2,2,1,有,有,10800000,139229,,0.0,0,含增建或未登記建物。,RPTOMLOLKINFFBA08DA
