鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段601~630號,13.73,住,,,1071101,土地1建物1車位1,十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860715.0,190.75,4,2,2,有,有,14000000,73394.0,坡道機械,23.51,0,,RPWNMLMLKINFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區臺灣大道二段871~900號,7.15,住,,,1071201,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951124.0,80.36,2,2,1,有,有,6000000,74664.0,,0.0,0,,RPROMLMLKINFFCB77CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段61~90號,7.56,住,,,1071101,土地1建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950816.0,129.62,2,2,2,有,有,11080000,85367.0,坡道機械,18.57,1600000,含增建或未登記建物。,RPSNMLNLKINFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區惠來路三段181~210號,16.39,住,,,1071001,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951219.0,188.78,4,2,2,有,有,14560000,78846.0,坡道平面,23.14,1500000,含增建或未登記建物。,RPTNMLNLKINFFCB97CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大進街361~390號,35.64,住,,,1071101,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030814.0,250.55,4,2,2,有,有,20680000,82538.0,坡道平面,61.46,0,,RPWRMLOLKINFFCB78CA
西屯區,房地(土地+建物)+車位,臺中市西屯區安和路189巷1~30號,35.96,住,,,1071101,土地1建物1車位1,十一層，十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810519.0,246.36,4,2,4,有,有,11200000,45462.0,坡道機械,0.0,0,,RPUOMLRLKINFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路91~120號,12.16,住,,,1071001,土地1建物1車位1,一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971127.0,145.09,3,2,2,有,有,10800000,74437.0,坡道平面,21.71,0,,RPRNMLOJJHOFFCB57CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩六街211~240號,11.13,住,,,1071101,土地1建物1車位1,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,811113.0,80.99,2,1,2,有,有,5500000,67918.0,坡道機械,16.65,0,陽台外推,RPSQMLRJJHOFFCB28CA
西屯區,房地(土地+建物)+車位,臺中市西屯區文華路31~60號,39.7,住,,,1071101,土地1建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940704.0,189.6,3,2,2,有,有,10000000,52743.0,坡道平面,0.0,0,,RPORMLPKJHOFFCB87CA
南屯區,房地(土地+建物)+車位,臺中市南屯區東興路二段91~120號,8.48,住,,,1071201,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830328.0,95.98,3,1,1,有,有,5500000,57304.0,坡道平面,21.19,0,,RPSPMLQKJHOFFCB18CA
